,Date,Close,High,Low,Open,Volume,profit
122,2025-07-01,620.6699829101562,621.6799926757812,618.47998046875,619.2999877929688,6039400,10.43
123,2025-07-02,623.4199829101562,623.7000122070312,619.5800170898438,620.2000122070312,4920900,10.92
124,2025-07-03,628.1699829101562,629.25,625.4000244140625,625.4000244140625,4229400,11.77
125,2025-07-07,623.8300170898438,627.0,620.8499755859375,626.3400268554688,7472300,11.0
126,2025-07-08,623.3300170898438,625.0700073242188,622.52001953125,624.3200073242188,4685600,10.91
127,2025-07-09,627.030029296875,627.719970703125,623.8900146484375,625.75,3019800,11.57
128,2025-07-10,628.8499755859375,629.8699951171875,626.010009765625,627.1799926757812,2556800,11.89
129,2025-07-11,626.4400024414062,627.8200073242188,624.52001953125,625.760009765625,2739200,11.46
130,2025-07-14,627.739990234375,628.1400146484375,624.75,626.1699829101562,2590500,11.69
131,2025-07-15,624.989990234375,630.8599853515625,624.989990234375,630.52001953125,3811700,11.2
